Short15,Short30,ShortDCA,OnePrcnt,GrtrThnHgh
-0.038344668,-0.038344668,-0.037393126,-0.038344668,-0.038344668
0.001922183,0.001922183,0.00295208,0.001922183,0.001922183
0.000955678,0.000955678,0.001981553,0.000955678,0.000955678
0.0270904,0.0270904,0.028140978,0.0270904,0.0270904
0.011189969,0.011189969,0.012195974,0.011189969,0.011189969
-0.013062512,-0.013062512,-0.012092466,-0.013062512,-0.013062512
-0.004386372,-0.004386372,-0.00339582,-0.004386372,-0.004386372
0.012169701,0.012169701,0.013180156,0.012169701,0.012169701
0.010671299,0.010671299,0.011667133,0.010671299,0.010671299
-0.006832071,-0.006832071,-0.005864769,-0.006832071,-0.006832071
0.000522293,0.000522293,0.001502506,0.000522293,0.000522293
-0.007095321,-0.007095321,-0.00612403,-0.007095321,-0.007095321
-0.002912319,-0.002912319,-0.001930926,-0.002912319,-0.002912319
-0.027633594,-0.027633594,-0.026674681,-0.027633594,-0.027633594
0.0060648,0.0060648,0.007084135,0.0060648,0.0060648
-0.004212721,-0.004212721,-0.003210896,-0.004212721,-0.004212721
-0.003938428,-0.003938428,-0.002933099,-0.003938428,-0.003938428
-0.027456829,-0.027456829,-0.02647235,-0.027456829,-0.027456829
0.025217567,0.025217567,0.026283587,0.025217567,0.025217567
0.010627819,0.010627819,0.011651756,0.010627819,0.010627819
-0.000113557,-0.000113557,0.000887829,-0.000113557,-0.000113557
0.011248138,0.011248138,0.012260004,0.011248138,0.011248138
-0.000421045,-0.000421045,0.000567032,-0.000421045,-0.000421045
-9.12719E-05,-9.12719E-05,0.00089657,-9.12719E-05,-9.12719E-05
0.012273199,0.012273199,0.013272361,0.012273199,0.012273199
-0.020815422,-0.020815422,-0.01986158,-0.020815422,-0.020815422
0.003626804,0.003626804,0.004624267,0.003626804,0.003626804
-0.02096932,-0.02096932,-0.020000781,-0.02096932,-0.02096932
0.00203295,0.00203295,0.003044476,0.00203295,0.00203295
0.008712684,0.008712684,0.009727863,0.008712684,0.008712684
-0.010256413,-0.010256413,-0.009269922,-0.010256413,-0.010256413
0.000425149,0.000425149,0.001431616,0.000425149,0.000425149
-0.030376186,-0.030376186,-0.0294021,-0.030376186,-0.030376186
0.004516844,0.004516844,0.005556553,0.004516844,0.004516844
0.006300906,0.006300906,0.007336706,0.006300906,0.006300906
-0.005335445,-0.005335445,-0.00431908,-0.005335445,-0.005335445
-0.01482904,-0.01482904,-0.013818009,-0.01482904,-0.01482904
0.011017328,0.011017328,0.012069422,0.011017328,0.011017328
0.013627087,0.013627087,0.014669318,0.013627087,0.013627087
0.009345514,0.009345514,0.010368338,0.009345514,0.009345514
0.001863463,0.001863463,0.002868287,0.001863463,0.001863463
0.019837044,0.019837044,0.020856969,0.019837044,0.019837044
-0.012695427,-0.012695427,-0.01172821,-0.012695427,-0.012695427
-0.025631097,-0.025631097,-0.024665225,-0.025631097,-0.025631097
0.008173349,0.008173349,0.009198005,0.008173349,0.008173349
0.025601808,0.025601808,0.026634677,0.025601808,0.025601808
-0.004722867,-0.004722867,-0.003746542,-0.004722867,-0.004722867
-0.008207439,-0.008207439,-0.007230873,-0.008207439,-0.008207439
-0.017685471,-0.017685471,-0.016711193,-0.017685471,-0.017685471
0.024272516,0.024272516,0.025305674,0.024272516,0.024272516
0.047646038,0.047646038,0.048676691,0.047646038,0.047646038
0.0041139,0.0041139,0.005055875,0.0041139,0.0041139
-0.005353449,-0.005353449,-0.00442505,-0.005353449,-0.005353449
0.025565854,0.025565854,0.026527368,0.081426218,0.081426218
0.004531867,0.004531867,0.005449323,0.004531867,0.004531867
0.017799046,0.017799046,0.018723581,0.017799046,0.017799046
7.20103E-05,7.20103E-05,0.000963746,7.20103E-05,7.20103E-05
-0.002356838,-0.002356838,-0.001468125,-0.002356838,-0.002356838
-0.010584965,-0.010584965,-0.009702286,-0.010584965,-0.010584965
0.000523993,0.000523993,0.001425328,0.000523993,0.000523993
-0.013655752,-0.013655752,-0.012768456,-0.013655752,-0.013655752
0.007164304,0.007164304,0.008082048,0.007164304,0.007164304
0.004931345,0.004931345,0.005839713,0.004931345,0.004931345
-0.007463622,-0.007463622,-0.006571667,-0.007463622,-0.007463622
-0.004923956,-0.004923956,-0.004023803,-0.004923956,-0.004923956
0.009392398,0.009392398,0.010309191,0.009392398,0.009392398
0.009997742,0.009997742,0.010905724,0.009997742,0.009997742
-0.007841208,-0.007841208,-0.006958885,-0.007841208,-0.007841208
-0.002572348,-0.002572348,-0.001679124,-0.002572348,-0.002572348
-0.022271189,-0.022271189,-0.021394133,-0.022271189,-0.022271189
-0.018171059,-0.018171059,-0.017271071,-0.018171059,-0.018171059
